iter,avg_transfer,avg_approve
0,688882695,527604000
1,692457517,529284727
2,692780016,530914812
3,692819172,532031619
4,692854929,532886899
5,692854829,533872217
6,692885767,534317426
7,692860738,534881797
8,692869498,535348550
9,692913700,535624639
10,692889150,535981711
11,692886241,536177554
12,692831727,536271649
13,692934598,536515887
14,692891423,536501000
15,692922635,536787267
16,692918181,536912166
17,692904035,536987231
18,692950402,537017882
19,692936516,536955177
20,692997598,537081010
21,693010123,537095588
22,693029195,536935411
23,693053617,537021548
24,693056475,537109862
25,693054656,537025397
26,693065760,537094517
27,693068365,537037774
28,693139432,537243820
29,693150204,537216046
30,693178728,537393463
31,693165324,537317791
32,693207470,537147642
33,693241774,537261419
34,693210269,537249309
35,693195083,537143738
36,693266077,537111690
37,693307871,537272783
38,693264598,536946898
39,693350525,537196104
40,693377605,537088337
41,693384836,537194840
42,693411525,537224241
43,693485064,537327364
44,693467028,537389579
45,693483656,537205553
46,693578911,537359363
47,693571084,537306965
48,693630562,537205582
49,693639129,537203119
50,693639834,537118515
51,693790505,537106679
52,693751326,537179760
53,693927553,537161989
54,693916464,537200408
55,693954028,537180620
56,694081454,537309221
57,694156691,537358562
58,694210892,537271309
59,694359782,537404821
60,694316643,537232733
61,694505376,537124089
62,694631009,537216676
63,694676851,537171430
64,694726635,537178518
65,694862417,537240462
66,694956620,537206399
67,695104891,537292296
68,695312033,537232943
69,695425904,537250758
70,695551417,537398419
71,695946517,537286334
72,696073238,537371627
73,696198547,537416549
74,696727093,537141912
75,696727583,537245315
76,697275739,537302156
77,697655012,537317585
78,697866136,537236430
79,698493515,537285814
80,698811435,537378419
81,699349178,537274353
82,699895270,537293795
83,700438695,537365684
84,701658113,537330944
85,702509450,537243745
86,703738861,537465531
87,704946895,537131965
88,706424476,537244682
89,708455179,537259803
90,710158100,537445440
91,713311357,537292162
92,717106300,537310626
93,721581119,537308721
94,727602386,537295737
95,737085270,537352788
96,749415128,537443143
97,765983567,537252458
98,789757566,537379227
99,826504225,537414498
